Non Functional Log
De error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	
Datum/tijd: 10-Jun-2022 11:53:36	De error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	
Datum/tijd: 10-Jun-2022 11:54:43	De error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	
Datum/tijd: 10-Jun-2022 11:57:45	Remote IP Address: ::1	De error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	
Datum/tijd: 21-Jun-2022 14:30:23	Remote IP Address: ::1	De error is: SQLSTATE[HY000]: General error: 1366 Incorrect integer value: 'goofy' for column 'instructeur' at row 1	file: C:\Users\berka\Documents\proefexamen\mvc-framework\eindexamen\app\models\Instructeur.php method: Instructeur::createInstructeur linenumber: 43	
Datum/tijd: 21-Jun-2022 14:39:53	Remote IP Address: ::1	De error is: SQLSTATE[23000]: Integrity constraint violation: 1452 Cannot add or update a child row: a foreign key constraint fails (`kerntaakexamen`.`mededelingeninstructeurs`, CONSTRAINT `mededelingeninstructeurs_ibfk_1` FOREIGN KEY (`instructeur`) REFERENCES `instructeurs` (`id`))	file: C:\Users\berka\Documents\proefexamen\mvc-framework\eindexamen\app\models\Instructeur.php method: Instructeur::createInstructeur linenumber: 43	
Datum/tijd: 21-Jun-2022 14:44:46	Remote IP Address: ::1	De error is: SQLSTATE[23000]: Integrity constraint violation: 1452 Cannot add or update a child row: a foreign key constraint fails (`kerntaakexamen`.`mededelingeninstructeurs`, CONSTRAINT `mededelingeninstructeurs_ibfk_1` FOREIGN KEY (`instructeur`) REFERENCES `instructeurs` (`id`))	file: C:\Users\berka\Documents\proefexamen\mvc-framework\eindexamen\app\models\Instructeur.php method: Instructeur::createInstructeur linenumber: 43	
Datum/tijd: 21-Jun-2022 14:46:39	Remote IP Address: ::1	De error is: SQLSTATE[23000]: Integrity constraint violation: 1452 Cannot add or update a child row: a foreign key constraint fails (`kerntaakexamen`.`mededelingeninstructeurs`, CONSTRAINT `mededelingeninstructeurs_ibfk_1` FOREIGN KEY (`instructeur`) REFERENCES `instructeurs` (`id`))	file: C:\Users\berka\Documents\proefexamen\mvc-framework\eindexamen\app\models\Instructeur.php method: Instructeur::createInstructeur linenumber: 43	
Datum/tijd: 21-Jun-2022 14:47:00	Remote IP Address: ::1	De error is: SQLSTATE[23000]: Integrity constraint violation: 1452 Cannot add or update a child row: a foreign key constraint fails (`kerntaakexamen`.`mededelingeninstructeurs`, CONSTRAINT `mededelingeninstructeurs_ibfk_1` FOREIGN KEY (`instructeur`) REFERENCES `instructeurs` (`id`))	file: C:\Users\berka\Documents\proefexamen\mvc-framework\eindexamen\app\models\Instructeur.php method: Instructeur::createInstructeur linenumber: 43	
Datum/tijd: 21-Jun-2022 14:47:59	Remote IP Address: ::1	De error is: SQLSTATE[23000]: Integrity constraint violation: 1452 Cannot add or update a child row: a foreign key constraint fails (`kerntaakexamen`.`mededelingeninstructeurs`, CONSTRAINT `mededelingeninstructeurs_ibfk_1` FOREIGN KEY (`instructeur`) REFERENCES `instructeurs` (`id`))	file: C:\Users\berka\Documents\proefexamen\mvc-framework\eindexamen\app\models\Instructeur.php method: Instructeur::createInstructeur linenumber: 43	
Datum/tijd: 21-Jun-2022 14:48:41	Remote IP Address: ::1	De error is: SQLSTATE[HY000]: General error: 1366 Incorrect integer value: 's' for column 'instructeur' at row 1	file: C:\Users\berka\Documents\proefexamen\mvc-framework\eindexamen\app\models\Instructeur.php method: Instructeur::createInstructeur linenumber: 43	
Datum/tijd: 21-Jun-2022 14:52:17	Remote IP Address: ::1	De error is: SQLSTATE[23000]: Integrity constraint violation: 1452 Cannot add or update a child row: a foreign key constraint fails (`kerntaakexamen`.`mededelingeninstructeurs`, CONSTRAINT `mededelingeninstructeurs_ibfk_1` FOREIGN KEY (`instructeur`) REFERENCES `instructeurs` (`id`))	file: C:\Users\berka\Documents\proefexamen\mvc-framework\eindexamen\app\models\Instructeur.php method: Instructeur::createInstructeur linenumber: 43	
Datum/tijd: 21-Jun-2022 14:56:11	Remote IP Address: ::1	De error is: SQLSTATE[HY000]: General error: 1366 Incorrect integer value: 'goofy' for column 'instructeur' at row 1	file: C:\Users\berka\Documents\proefexamen\mvc-framework\eindexamen\app\models\Instructeur.php method: Instructeur::createInstructeur linenumber: 43	
Datum/tijd: 21-Jun-2022 15:30:35	Remote IP Address: ::1	De error is: SQLSTATE[HY000]: General error: 1366 Incorrect integer value: 'faf' for column 'instructeur' at row 1	file: C:\Users\berka\Documents\proefexamen\mvc-framework\eindexamen\app\models\Instructeur.php method: Instructeur::createInstructeur linenumber: 43	
Datum/tijd: 21-Jun-2022 15:31:05	Remote IP Address: ::1	De error is: SQLSTATE[HY000]: General error: 1366 Incorrect integer value: 'faf' for column 'instructeur' at row 1	file: C:\Users\berka\Documents\proefexamen\mvc-framework\eindexamen\app\models\Instructeur.php method: Instructeur::createInstructeur linenumber: 43	
Datum/tijd: 21-Jun-2022 15:31:38	Remote IP Address: ::1	De error is: SQLSTATE[HY000]: General error: 1366 Incorrect integer value: 'faf' for column 'instructeur' at row 1	file: C:\Users\berka\Documents\proefexamen\mvc-framework\eindexamen\app\models\Instructeur.php method: Instructeur::createInstructeur linenumber: 43	
Datum/tijd: 21-Jun-2022 15:31:48	Remote IP Address: ::1	De error is: SQLSTATE[23000]: Integrity constraint violation: 1452 Cannot add or update a child row: a foreign key constraint fails (`kerntaakexamen`.`mededelingeninstructeurs`, CONSTRAINT `mededelingeninstructeurs_ibfk_1` FOREIGN KEY (`instructeur`) REFERENCES `instructeurs` (`id`))	file: C:\Users\berka\Documents\proefexamen\mvc-framework\eindexamen\app\models\Instructeur.php method: Instructeur::createInstructeur linenumber: 43	
Datum/tijd: 21-Jun-2022 15:32:42	Remote IP Address: ::1	De error is: SQLSTATE[23000]: Integrity constraint violation: 1452 Cannot add or update a child row: a foreign key constraint fails (`kerntaakexamen`.`mededelingeninstructeurs`, CONSTRAINT `mededelingeninstructeurs_ibfk_1` FOREIGN KEY (`instructeur`) REFERENCES `instructeurs` (`id`))	file: C:\Users\berka\Documents\proefexamen\mvc-framework\eindexamen\app\models\Instructeur.php method: Instructeur::createInstructeur linenumber: 43	
Datum/tijd: 21-Jun-2022 15:36:54	Remote IP Address: ::1	De error is: SQLSTATE[23000]: Integrity constraint violation: 1452 Cannot add or update a child row: a foreign key constraint fails (`kerntaakexamen`.`mededelingeninstructeurs`, CONSTRAINT `mededelingeninstructeurs_ibfk_1` FOREIGN KEY (`instructeur`) REFERENCES `instructeurs` (`id`))	file: C:\Users\berka\Documents\proefexamen\mvc-framework\eindexamen\app\models\Instructeur.php method: Instructeur::createInstructeur linenumber: 43	
Datum/tijd: 21-Jun-2022 15:38:48	Remote IP Address: ::1	De error is: SQLSTATE[23000]: Integrity constraint violation: 1452 Cannot add or update a child row: a foreign key constraint fails (`kerntaakexamen`.`mededelingeninstructeurs`, CONSTRAINT `mededelingeninstructeurs_ibfk_1` FOREIGN KEY (`instructeur`) REFERENCES `instructeurs` (`id`))	file: C:\Users\berka\Documents\proefexamen\mvc-framework\eindexamen\app\models\Instructeur.php method: Instructeur::createInstructeur linenumber: 43	
Datum/tijd: 21-Jun-2022 15:40:11	Remote IP Address: ::1	De error is: SQLSTATE[23000]: Integrity constraint violation: 1452 Cannot add or update a child row: a foreign key constraint fails (`kerntaakexamen`.`mededelingeninstructeurs`, CONSTRAINT `mededelingeninstructeurs_ibfk_1` FOREIGN KEY (`instructeur`) REFERENCES `instructeurs` (`id`))	file: C:\Users\berka\Documents\proefexamen\mvc-framework\eindexamen\app\models\Instructeur.php method: Instructeur::createInstructeur linenumber: 43	
Datum/tijd: 21-Jun-2022 15:44:15	Remote IP Address: ::1	De error is: SQLSTATE[23000]: Integrity constraint violation: 1452 Cannot add or update a child row: a foreign key constraint fails (`kerntaakexamen`.`mededelingeninstructeurs`, CONSTRAINT `mededelingeninstructeurs_ibfk_1` FOREIGN KEY (`instructeur`) REFERENCES `instructeurs` (`id`))	file: C:\Users\berka\Documents\proefexamen\mvc-framework\eindexamen\app\models\Instructeur.php method: Instructeur::createInstructeur linenumber: 43	
Datum/tijd: 21-Jun-2022 15:47:48	Remote IP Address: ::1	De error is: SQLSTATE[23000]: Integrity constraint violation: 1452 Cannot add or update a child row: a foreign key constraint fails (`kerntaakexamen`.`mededelingeninstructeurs`, CONSTRAINT `mededelingeninstructeurs_ibfk_1` FOREIGN KEY (`instructeur`) REFERENCES `instructeurs` (`id`))	file: C:\Users\berka\Documents\proefexamen\mvc-framework\eindexamen\app\models\Instructeur.php method: Instructeur::createInstructeur linenumber: 43	
Datum/tijd: 21-Jun-2022 15:49:49	Remote IP Address: ::1	De error is: SQLSTATE[23000]: Integrity constraint violation: 1452 Cannot add or update a child row: a foreign key constraint fails (`kerntaakexamen`.`mededelingeninstructeurs`, CONSTRAINT `mededelingeninstructeurs_ibfk_1` FOREIGN KEY (`instructeur`) REFERENCES `instructeurs` (`id`))	file: C:\Users\berka\Documents\proefexamen\mvc-framework\eindexamen\app\models\Instructeur.php method: Instructeur::createInstructeur linenumber: 43	
Datum/tijd: 21-Jun-2022 16:29:29	Remote IP Address: ::1	De error is: SQLSTATE[23000]: Integrity constraint violation: 1452 Cannot add or update a child row: a foreign key constraint fails (`kerntaakexamen`.`mededelingeninstructeurs`, CONSTRAINT `mededelingeninstructeurs_ibfk_1` FOREIGN KEY (`instructeur`) REFERENCES `instructeurs` (`id`))	file: C:\Users\berka\Documents\proefexamen\mvc-framework\eindexamen\app\models\Instructeur.php method: Instructeur::createInstructeur linenumber: 43	
Datum/tijd: 21-Jun-2022 16:39:31	Remote IP Address: ::1	De error is: SQLSTATE[23000]: Integrity constraint violation: 1452 Cannot add or update a child row: a foreign key constraint fails (`kerntaakexamen`.`mededelingeninstructeurs`, CONSTRAINT `mededelingeninstructeurs_ibfk_1` FOREIGN KEY (`instructeur`) REFERENCES `instructeurs` (`id`))	file: C:\Users\berka\Documents\proefexamen\mvc-framework\eindexamen\app\models\Instructeur.php method: Instructeur::createInstructeur linenumber: 43	
Datum/tijd: 21-Jun-2022 16:39:53	Remote IP Address: ::1	De error is: SQLSTATE[23000]: Integrity constraint violation: 1452 Cannot add or update a child row: a foreign key constraint fails (`kerntaakexamen`.`mededelingeninstructeurs`, CONSTRAINT `mededelingeninstructeurs_ibfk_1` FOREIGN KEY (`instructeur`) REFERENCES `instructeurs` (`id`))	file: C:\Users\berka\Documents\proefexamen\mvc-framework\eindexamen\app\models\Instructeur.php method: Instructeur::createInstructeur linenumber: 43	
Datum/tijd: 21-Jun-2022 16:42:08	Remote IP Address: ::1	De error is: SQLSTATE[23000]: Integrity constraint violation: 1452 Cannot add or update a child row: a foreign key constraint fails (`kerntaakexamen`.`mededelingeninstructeurs`, CONSTRAINT `mededelingeninstructeurs_ibfk_1` FOREIGN KEY (`instructeur`) REFERENCES `instructeurs` (`id`))	file: C:\Users\berka\Documents\proefexamen\mvc-framework\eindexamen\app\models\Instructeur.php method: Instructeur::createInstructeur linenumber: 43	
Datum/tijd: 21-Jun-2022 16:43:04	Remote IP Address: ::1	De error is: SQLSTATE[23000]: Integrity constraint violation: 1452 Cannot add or update a child row: a foreign key constraint fails (`kerntaakexamen`.`mededelingeninstructeurs`, CONSTRAINT `mededelingeninstructeurs_ibfk_1` FOREIGN KEY (`instructeur`) REFERENCES `instructeurs` (`id`))	file: C:\Users\berka\Documents\proefexamen\mvc-framework\eindexamen\app\models\Instructeur.php method: Instructeur::createInstructeur linenumber: 43	
Datum/tijd: 21-Jun-2022 16:43:20	Remote IP Address: ::1	De error is: SQLSTATE[23000]: Integrity constraint violation: 1452 Cannot add or update a child row: a foreign key constraint fails (`kerntaakexamen`.`mededelingeninstructeurs`, CONSTRAINT `mededelingeninstructeurs_ibfk_1` FOREIGN KEY (`instructeur`) REFERENCES `instructeurs` (`id`))	file: C:\Users\berka\Documents\proefexamen\mvc-framework\eindexamen\app\models\Instructeur.php method: Instructeur::createInstructeur linenumber: 43	
Datum/tijd: 21-Jun-2022 16:43:29	Remote IP Address: ::1	De error is: SQLSTATE[23000]: Integrity constraint violation: 1452 Cannot add or update a child row: a foreign key constraint fails (`kerntaakexamen`.`mededelingeninstructeurs`, CONSTRAINT `mededelingeninstructeurs_ibfk_1` FOREIGN KEY (`instructeur`) REFERENCES `instructeurs` (`id`))	file: C:\Users\berka\Documents\proefexamen\mvc-framework\eindexamen\app\models\Instructeur.php method: Instructeur::createInstructeur linenumber: 43	
Datum/tijd: 21-Jun-2022 16:43:43	Remote IP Address: ::1	De error is: SQLSTATE[23000]: Integrity constraint violation: 1452 Cannot add or update a child row: a foreign key constraint fails (`kerntaakexamen`.`mededelingeninstructeurs`, CONSTRAINT `mededelingeninstructeurs_ibfk_1` FOREIGN KEY (`instructeur`) REFERENCES `instructeurs` (`id`))	file: C:\Users\berka\Documents\proefexamen\mvc-framework\eindexamen\app\models\Instructeur.php method: Instructeur::createInstructeur linenumber: 43	
